,Accuracy,Sensitivity,Specificity,F1,G-mean
434,0.8575,0.0833333333,0.898245614,0.0555035482,0.2705319056
435,0.7794444444,0.3111111111,0.8040935673,0.1240931653,0.5001585835
436,0.9430555556,0.05,0.9900584795,0.0807207207,0.2224925208
437,0.8927777778,0.061111111100000004,0.9365497076,0.053921568600000004,0.2373997432
438,0.9194444444000001,0.0888888889,0.9631578947,0.0988710636,0.2913297513
439,0.8063888889,0.1722222222,0.8397660819,0.0824160498,0.3789955753
440,0.7483333333000001,0.1388888889,0.7804093567,0.0522929769,0.3290949508
441,0.9730555556,0.5388888889,0.9959064327,0.6662457912,0.7322853352
442,0.9513888889000001,0.0666666667,0.9979532164,0.1203075531,0.254237936
443,0.9330555556000001,0.0833333333,0.9777777778000001,0.1107132568,0.28544958730000003
444,0.7780555556000001,0.3166666667,0.8023391813,0.1251978722,0.5040381404000001
445,0.905,0.1277777778,0.9459064327000001,0.1182308766,0.3469147493
446,0.9330555556000001,0.022222222200000002,0.9809941520000001,0.0319464371,0.1455109108
447,0.8472222222,0.1611111111,0.8833333333000001,0.0954612053,0.37714482180000003
448,0.8094444444000001,0.1722222222,0.8429824561,0.0840132058,0.3797807442
449,0.7358333333,0.1388888889,0.767251462,0.0499424798,0.3263088041
450,0.9400000000000001,0.61,0.97,0.6287912088000001,0.7689597218
451,0.6772222222000001,0.46,0.696969697,0.1919875466,0.5662131533
452,0.8463888889000001,0.0366666667,0.92,0.037524188800000004,0.1747995474
453,0.5750000000000001,0.5933333333,0.5733333333,0.1887724003,0.5832473325
454,0.8544444444,0.0833333333,0.9245454545,0.0877183203,0.2760038363
455,0.8725,0.13,0.9400000000000001,0.1452513966,0.34957116590000004
456,0.8338888889,0.1266666667,0.8981818182,0.11131517190000001,0.3336156992
457,0.9175000000000001,0.046666666700000005,0.9966666667,0.0860841979,0.21537560860000002
458,0.7391666667,0.13,0.7945454545,0.0761153677,0.3190451998
459,0.9561111111,0.54,0.9939393939000001,0.6717529233,0.7323563054000001
