Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy,Type
0.9836,0.9024,0.9943,0.9278,0.9472,0.5,0.9484,SVC
0.8442,0.0857,0.9443,0.1134,0.284,0.0,0.515,SVC
0.7242,0.1952,0.794,0.1417,0.3937,0.0,0.4946,SVC
0.4817,0.4452,0.4865,0.167,0.4654,0.6667,0.4659,SVC
0.6406,0.4095,0.6711,0.2102,0.5242,0.1667,0.5403,SVC
0.7275,0.35,0.7774,0.2306,0.5215,0.0,0.5637,SVC
0.4961,0.5452,0.4896,0.2017,0.5166,0.3333,0.5174,SVC
0.4886,0.4048,0.4997,0.1559,0.4497,0.3333,0.4522,SVC
0.7497,0.1952,0.823,0.1541,0.4008,0.6667,0.5091,SVC
0.7067,0.6444,0.7136,0.3051,0.677,0.3333,0.679,NuSVClinear
0.5733,0.5389,0.5772,0.2015,0.5572,0.6667,0.558,NuSVClinear
0.4933,0.9333,0.4444,0.2693,0.6441,0.6667,0.6889,NuSVClinear
0.6106,0.7444,0.5957,0.276,0.6643,0.8333,0.6701,NuSVClinear
0.3661,0.8444,0.313,0.2104,0.514,0.6667,0.5787,NuSVClinear
0.5617,0.4,0.5796,0.1542,0.4806,0.5,0.4898,NuSVClinear
0.3617,0.3167,0.3667,0.0897,0.3353,0.1667,0.3417,NuSVClinear
0.5483,0.1,0.5981,0.0423,0.2355,0.3333,0.3491,NuSVClinear
0.4728,0.5722,0.4617,0.1783,0.5138,0.5,0.517,NuSVClinear
0.6906,0.5667,0.7153,0.3788,0.6364,0.0,0.641,NuSVClinear
0.4294,0.51,0.4133,0.2296,0.4591,0.5,0.4617,NuSVClinear
0.565,0.5233,0.5733,0.2861,0.5476,0.5,0.5483,NuSVClinear
0.5278,0.5733,0.5187,0.288,0.5452,0.3333,0.546,NuSVClinear
0.4817,0.0133,0.5753,0.0085,0.0862,0.5,0.2943,NuSVClinear
0.685,0.1367,0.7947,0.1255,0.3265,0.1667,0.4657,NuSVClinear
0.3789,0.6233,0.33,0.2503,0.4526,0.6667,0.4767,NuSVClinear
0.5217,0.6967,0.4867,0.3266,0.5819,0.3333,0.5917,NuSVClinear
0.54,0.4567,0.5567,0.2489,0.5042,0.5,0.5067,NuSVClinear
0.4533,0.5929,0.4109,0.3359,0.4934,0.8333,0.5019,NuSVClinear
0.4844,0.6857,0.4232,0.383,0.5387,0.3333,0.5545,NuSVClinear
0.365,0.7643,0.2435,0.3597,0.4314,0.5,0.5039,NuSVClinear
0.5556,0.3167,0.6283,0.2495,0.4458,0.6667,0.4725,NuSVClinear
0.5617,0.1357,0.6913,0.1263,0.3061,0.5,0.4135,NuSVClinear
0.5872,0.2333,0.6949,0.2088,0.4027,0.5,0.4641,NuSVClinear
0.3339,0.7071,0.2203,0.3313,0.3947,0.5,0.4637,NuSVClinear
0.515,0.3262,0.5725,0.2382,0.4309,0.8333,0.4493,NuSVClinear
0.5194,0.4952,0.5268,0.3248,0.5108,0.3333,0.511,NuSVClinear
0.6261,0.4389,0.6469,0.1903,0.5328,0.5,0.5429,NuSVClinear
0.545,0.45,0.5556,0.1655,0.4998,0.8333,0.5028,NuSVClinear
0.435,0.7056,0.4049,0.2002,0.5345,1.0,0.5552,NuSVClinear
0.5017,0.4722,0.5049,0.1582,0.484,0.1667,0.4886,NuSVClinear
0.5178,0.4889,0.521,0.1686,0.5047,0.1667,0.5049,NuSVClinear
0.5394,0.3778,0.5574,0.1399,0.4554,0.1667,0.4676,NuSVClinear
0.4472,0.5778,0.4327,0.1732,0.4998,1.0,0.5052,NuSVClinear
0.4383,0.4833,0.4333,0.1471,0.4576,0.5,0.4583,NuSVClinear
0.5467,0.5889,0.542,0.2063,0.5649,1.0,0.5654,NuSVClinear
0.7139,0.4233,0.772,0.3302,0.5714,0.0,0.5977,NuSVClinear
0.5089,0.3367,0.5433,0.1857,0.427,0.5,0.44,NuSVClinear
0.6217,0.3,0.686,0.209,0.4534,0.3333,0.493,NuSVClinear
0.3839,0.5233,0.356,0.2207,0.4316,0.1667,0.4397,NuSVClinear
0.56,0.4967,0.5727,0.274,0.5333,0.1667,0.5347,NuSVClinear
0.4261,0.4867,0.414,0.2205,0.4488,0.3333,0.4503,NuSVClinear
0.5056,0.5067,0.5053,0.2546,0.5059,0.0,0.506,NuSVClinear
0.4383,0.4833,0.4293,0.2231,0.455,0.3333,0.4563,NuSVClinear
0.4711,0.5,0.4653,0.2396,0.4822,0.0,0.4827,NuSVClinear
0.69,0.5095,0.7449,0.435,0.6161,0.8333,0.6272,NuSVClinear
0.5761,0.5952,0.5703,0.3964,0.5826,0.5,0.5828,NuSVClinear
0.4722,0.4976,0.4645,0.3052,0.4802,0.1667,0.4811,NuSVClinear
0.6033,0.5619,0.6159,0.3979,0.5882,0.5,0.5889,NuSVClinear
0.4978,0.5476,0.4826,0.3373,0.5141,0.8333,0.5151,NuSVClinear
0.6011,0.4762,0.6391,0.3575,0.5511,0.0,0.5577,NuSVClinear
0.4333,0.569,0.392,0.3188,0.4719,0.5,0.4805,NuSVClinear
0.3978,0.3786,0.4036,0.2267,0.3902,0.1667,0.3911,NuSVClinear
0.4789,0.2333,0.5536,0.1708,0.3543,0.1667,0.3935,NuSVClinear
0.7694,0.4667,0.8031,0.2892,0.6117,0.0,0.6349,NuSVClinear
0.5333,0.5167,0.5352,0.1812,0.5257,0.1667,0.5259,NuSVClinear
0.4483,0.5222,0.4401,0.1592,0.4793,1.0,0.4812,NuSVClinear
0.5789,0.4222,0.5963,0.1669,0.5014,0.0,0.5093,NuSVClinear
0.5839,0.5611,0.5864,0.2126,0.5735,0.5,0.5738,NuSVClinear
0.4494,0.5667,0.4364,0.171,0.4973,0.6667,0.5015,NuSVClinear
0.4328,0.5389,0.421,0.1597,0.4761,0.8333,0.4799,NuSVClinear
0.6189,0.2056,0.6648,0.0974,0.3696,0.0,0.4352,NuSVClinear
0.3578,0.7222,0.3173,0.184,0.4787,0.6667,0.5198,NuSVClinear
0.9167,0.51,0.998,0.6711,0.7134,0.3333,0.754,NuSVClinear
0.3783,0.6267,0.3287,0.2514,0.4535,1.0,0.4777,NuSVClinear
0.6533,0.4533,0.6933,0.3029,0.5597,0.1667,0.5733,NuSVClinear
0.6033,0.3233,0.6593,0.2134,0.4612,0.3333,0.4913,NuSVClinear
0.4861,0.5733,0.4687,0.2711,0.5183,0.1667,0.521,NuSVClinear
0.5811,0.36,0.6253,0.2229,0.4745,0.0,0.4927,NuSVClinear
0.6283,0.5333,0.6473,0.3233,0.5862,0.3333,0.5903,NuSVClinear
0.4978,0.4633,0.5047,0.2352,0.4835,0.5,0.484,NuSVClinear
0.5061,0.5233,0.5027,0.261,0.5129,0.6667,0.513,NuSVClinear
0.7356,0.5548,0.7906,0.4944,0.6618,0.0,0.6727,NuSVClinear
0.5322,0.4286,0.5638,0.2991,0.4909,0.6667,0.4962,NuSVClinear
0.4967,0.6571,0.4478,0.3785,0.5423,0.6667,0.5525,NuSVClinear
0.4572,0.5381,0.4326,0.3162,0.4823,0.3333,0.4854,NuSVClinear
0.4289,0.5548,0.3906,0.3119,0.4655,0.8333,0.4727,NuSVClinear
0.4417,0.4714,0.4326,0.2827,0.4516,0.6667,0.452,NuSVClinear
0.4933,0.4786,0.4978,0.306,0.4881,0.6667,0.4882,NuSVClinear
0.5189,0.5048,0.5232,0.3287,0.5139,0.8333,0.514,NuSVClinear
0.5483,0.3429,0.6109,0.2614,0.4573,0.3333,0.4769,NuSVClinear
0.9586,0.1722,1.0,0.2919,0.412,0.1667,0.5861,NuSVClinear
0.7261,0.2889,0.7491,0.0954,0.4641,0.0,0.519,NuSVClinear
0.5544,0.05,0.581,0.0109,0.1656,0.1667,0.3155,NuSVClinear
0.9583,0.1667,1.0,0.2857,0.4082,0.0,0.5833,NuSVClinear
0.9369,0.1667,0.9775,0.2091,0.4036,0.0,0.5721,NuSVClinear
0.7044,0.2444,0.7287,0.0765,0.422,0.0,0.4865,NuSVClinear
0.7097,0.2833,0.7322,0.089,0.4551,0.3333,0.5077,NuSVClinear
0.9336,0.1889,0.9728,0.2214,0.4286,0.3333,0.5808,NuSVClinear
0.8956,0.1333,0.9357,0.1134,0.3532,0.0,0.5345,NuSVClinear
0.5258,0.5367,0.5248,0.1586,0.5306,0.5,0.5308,NuSVClinear
0.5094,0.5333,0.5073,0.1535,0.5201,0.5,0.5203,NuSVClinear
0.4297,0.5767,0.4164,0.1443,0.4899,0.5,0.4965,NuSVClinear
0.4619,0.5533,0.4536,0.1463,0.501,0.5,0.5035,NuSVClinear
0.7331,0.3333,0.7694,0.1728,0.5062,0.3333,0.5514,NuSVClinear
0.7267,0.4067,0.7558,0.1987,0.5542,0.5,0.5812,NuSVClinear
0.5172,0.4833,0.5203,0.1431,0.5015,0.5,0.5018,NuSVClinear
0.8347,0.3033,0.883,0.2326,0.5153,0.3333,0.5932,NuSVClinear
0.3189,0.7233,0.2821,0.1505,0.4517,0.5,0.5027,NuSVClinear
0.9667,0.7143,1.0,0.8333,0.8451,0.5,0.8571,NuSVClinear
0.32,0.5905,0.2843,0.1685,0.4097,0.1667,0.4374,NuSVClinear
0.4972,0.75,0.4638,0.2582,0.5897,0.8333,0.6069,NuSVClinear
0.5717,0.0476,0.6409,0.0252,0.1722,0.0,0.3442,NuSVClinear
0.3533,0.6952,0.3082,0.2005,0.4628,0.8333,0.5017,NuSVClinear
0.6064,0.7286,0.5903,0.3017,0.6558,0.8333,0.6594,NuSVClinear
0.3231,0.4643,0.3044,0.1379,0.3758,0.8333,0.3843,NuSVClinear
0.6433,0.2167,0.6997,0.1242,0.3886,0.0,0.4582,NuSVClinear
0.5361,0.7619,0.5063,0.277,0.6209,0.5,0.6341,NuSVClinear
0.9572,0.1444,1.0,0.2521,0.3795,0.0,0.5722,NuSVClinear
0.9081,0.0889,0.9512,0.0901,0.2817,0.0,0.52,NuSVClinear
0.7414,0.2056,0.7696,0.0737,0.3967,0.0,0.4876,NuSVClinear
0.8456,0.2889,0.8749,0.1577,0.5026,0.3333,0.5819,NuSVClinear
0.5625,0.3833,0.5719,0.0807,0.4681,0.1667,0.4776,NuSVClinear
0.665,0.3278,0.6827,0.0891,0.4729,0.5,0.5053,NuSVClinear
